Iteration,N-Neighbors,Weight,MSE
1,3,uniform,0.0539082223165763
2,3,distance,0.05355603146155695
3,5,uniform,0.04792207048146087
4,5,distance,0.047446207573670025
5,7,uniform,0.0467904324406654
6,7,distance,0.046309699504188846
7,9,uniform,0.045581227990441925
8,9,distance,0.04505172814902484
9,11,uniform,0.045227386134594
10,11,distance,0.04469123794062016
11,13,uniform,0.045533002046350135
12,13,distance,0.044914955324979425
13,15,uniform,0.045490871965168135
14,15,distance,0.04485334321937141
15,17,uniform,0.04610456523761604
16,17,distance,0.04544814219792514
17,19,uniform,0.04663194073038458
18,19,distance,0.04595753753391277
