Iteration,C,Epsilon,Kernel,MSE
1,0.001,0.001,linear,0.008231225311649798
2,0.001,0.001,poly,0.0806164093289184
3,0.001,0.001,rbf,0.10792915919464395
4,0.001,0.01,linear,0.008268067459294395
5,0.001,0.01,poly,0.08072618761799255
6,0.001,0.01,rbf,0.10803514033371482
7,0.001,0.1,linear,0.010681672204746636
8,0.001,0.1,poly,0.08305682585333213
9,0.001,0.1,rbf,0.11053924289404894
10,0.001,1.0,linear,0.2562760930591455
11,0.001,1.0,poly,0.28264112574484856
12,0.001,1.0,rbf,0.26751680242763565
13,0.01,0.001,linear,0.005365194420879215
14,0.01,0.001,poly,0.024248042486632333
15,0.01,0.001,rbf,0.02425918672614381
16,0.01,0.01,linear,0.005336042607278077
17,0.01,0.01,poly,0.024213120752844923
18,0.01,0.01,rbf,0.02433080196623949
19,0.01,0.1,linear,0.005788937113601603
20,0.01,0.1,poly,0.026950858286777932
21,0.01,0.1,rbf,0.028087499684837664
22,0.01,1.0,linear,0.274734360134405
23,0.01,1.0,poly,0.26027982738612726
24,0.01,1.0,rbf,0.24949645217182748
25,0.1,0.001,linear,0.0053888967449267754
26,0.1,0.001,poly,0.012308242861706809
27,0.1,0.001,rbf,0.006793475569636992
28,0.1,0.01,linear,0.005266014776869243
29,0.1,0.01,poly,0.012255105682331919
30,0.1,0.01,rbf,0.006818919708009413
31,0.1,0.1,linear,0.005533265852783157
32,0.1,0.1,poly,0.014294111112680025
33,0.1,0.1,rbf,0.008813228723980734
34,0.1,1.0,linear,0.27563384560727194
35,0.1,1.0,poly,0.25226218314952864
36,0.1,1.0,rbf,0.25138419637205395
37,1.0,0.001,linear,0.005414747837831882
38,1.0,0.001,poly,0.011216233637517852
39,1.0,0.001,rbf,0.005460753856556279
40,1.0,0.01,linear,0.0053099029984042595
41,1.0,0.01,poly,0.011119287787745213
42,1.0,0.01,rbf,0.005454538300362199
43,1.0,0.1,linear,0.005775013504759242
44,1.0,0.1,poly,0.013256756693242545
45,1.0,0.1,rbf,0.007006623433238592
46,1.0,1.0,linear,0.27563384560727194
47,1.0,1.0,poly,0.25364312599229655
48,1.0,1.0,rbf,0.2580262534906148
