Iteration,N-Neighbors,Weight,MSE
1,3,uniform,0.05384333740240104
2,3,distance,0.053464596480594026
3,5,uniform,0.047700268436767376
4,5,distance,0.04725353268576991
5,7,uniform,0.04614005819150787
6,7,distance,0.045580866394773184
7,9,uniform,0.0447977057070402
8,9,distance,0.04424751947899408
9,11,uniform,0.04378555952624556
10,11,distance,0.043231678787873665
11,13,uniform,0.04452297708889895
12,13,distance,0.04386651772983817
13,15,uniform,0.04516925644383499
14,15,distance,0.044449387712379995
15,17,uniform,0.04523027449089537
16,17,distance,0.04452442546361681
17,19,uniform,0.045632439499843684
18,19,distance,0.04491780396544875
